cuisine,id
korean,18362
chinese,16292
indian,29924
southern_us,47174
italian,4856
italian,15417
british,19875
indian,42228
mexican,36264
italian,14571
chinese,23496
mexican,43879
indian,23431
italian,5499
mexican,247
indian,48795
italian,47113
mexican,489
chinese,13036
italian,4838
indian,40630
italian,17576
indian,29972
indian,8123
mexican,35918
cajun_creole,42669
mexican,24632
mexican,35740
italian,45670
filipino,28041
japanese,46688
thai,10309
indian,15367
southern_us,30562
moroccan,47151
vietnamese,47300
mexican,31200
southern_us,5749
italian,41807
mexican,13990
greek,23572
french,872
vietnamese,38085
italian,5248
brazilian,26309
mexican,26880
mexican,41559
southern_us,8059
thai,26041
indian,30019
indian,7207
french,30309
mexican,2092
chinese,8023
british,4016
italian,24631
southern_us,35068
mexican,8523
italian,28463
french,8629
cajun_creole,43829
italian,22129
chinese,34505
chinese,38200
chinese,36513
italian,32187
southern_us,7788
filipino,31130
southern_us,40483
southern_us,2224
southern_us,14143
indian,22889
chinese,17406
thai,10451
italian,19844
french,23416
italian,33874
italian,39951
mexican,41361
indian,44659
french,8836
indian,21709
thai,22993
southern_us,39191
mexican,17182
korean,20507
italian,42397
italian,18897
thai,3797
brazilian,11041
chinese,807
italian,3514
korean,12936
southern_us,15050
cajun_creole,43377
chinese,10471
mexican,30721
indian,14333
chinese,6260
southern_us,7712
southern_us,19048
mexican,21455
cajun_creole,18575
french,47647
mexican,35947
italian,14499
british,43525
italian,5723
italian,48497
italian,43822
italian,525
mexican,30594
southern_us,47948
indian,2099
mexican,43863
thai,24711
indian,15230
indian,21680
mexican,36218
chinese,41622
italian,34809
french,5110
french,27214
southern_us,34803
indian,36822
vietnamese,6912
french,20373
french,29157
mexican,6327
mexican,35502
southern_us,8305
italian,35598
indian,48538
indian,49358
mexican,44506
indian,39146
italian,29270
mexican,20560
southern_us,24169
italian,41537
italian,10431
southern_us,31517
chinese,34049
mexican,26964
italian,49655
italian,9101
italian,30377
indian,7046
mexican,47969
southern_us,18971
southern_us,38891
thai,29506
cajun_creole,40305
southern_us,21255
mexican,15578
southern_us,24894
chinese,32089
filipino,46097
italian,40982
indian,12543
southern_us,38366
spanish,32925
thai,17506
southern_us,48389
korean,41804
thai,9961
indian,24939
french,39599
mexican,45838
indian,48875
chinese,25531
cajun_creole,3009
italian,31965
italian,16901
italian,13370
vietnamese,2954
italian,40353
jamaican,8207
korean,10933
southern_us,38206
mexican,14110
italian,19128
indian,32616
mexican,27748
southern_us,31858
italian,20510
thai,17602
japanese,35665
indian,46589
mexican,8178
italian,34880
mexican,42527
filipino,29682
thai,32166
irish,30343
cajun_creole,15385
chinese,18372
italian,29211
korean,23269
mexican,4561
brazilian,27365
japanese,49032
greek,22064
southern_us,12060
southern_us,47834
southern_us,25815
chinese,34036
chinese,19326
thai,44078
italian,31090
southern_us,17485
indian,708
vietnamese,5350
japanese,29754
italian,18309
french,46871
southern_us,27300
mexican,41890
southern_us,49548
french,11392
thai,1354
southern_us,48819
french,19097
greek,42113
thai,24060
mexican,25849
italian,4543
southern_us,25306
italian,41966
indian,48719
thai,48191
british,8826
mexican,42703
greek,16083
chinese,26613
italian,28088
southern_us,39965
french,36239
moroccan,4322
french,9951
mexican,3045
greek,28585
italian,39841
mexican,25913
vietnamese,39715
mexican,23135
indian,47022
mexican,24160
italian,18619
korean,12574
indian,22681
cajun_creole,33692
mexican,538
chinese,22118
southern_us,21890
filipino,36340
italian,27973
mexican,12870
chinese,22564
indian,35063
french,7000
moroccan,11318
italian,47001
japanese,11395
thai,23507
mexican,47242
italian,48957
italian,17721
southern_us,25138
italian,47438
french,47162
french,42459
indian,6486
indian,24116
chinese,31596
chinese,38887
jamaican,10665
mexican,13712
french,2633
southern_us,35784
italian,45204
southern_us,46722
french,34949
chinese,35321
cajun_creole,46430
french,34431
cajun_creole,30890
southern_us,42132
thai,15702
southern_us,47719
italian,45160
italian,20600
greek,10800
greek,30479
cajun_creole,9457
filipino,26571
italian,42942
mexican,36635
chinese,43617
mexican,16911
mexican,122
mexican,22340
italian,37007
italian,23595
french,25233
chinese,5503
thai,47338
vietnamese,44695
southern_us,7141
italian,14564
british,19655
indian,35326
mexican,35922
italian,28171
italian,1322
southern_us,14923
italian,42344
mexican,16380
indian,15233
chinese,8338
indian,41014
mexican,30440
chinese,23043
cajun_creole,20788
southern_us,14375
chinese,1184
italian,34280
cajun_creole,46171
korean,31834
mexican,14759
chinese,15855
italian,6662
greek,15056
chinese,34873
southern_us,20089
mexican,20015
italian,18402
southern_us,6418
chinese,1454
chinese,14070
japanese,26424
indian,27349
korean,26459
italian,13151
italian,12264
italian,18366
indian,46851
italian,18954
chinese,39858
irish,43500
italian,21656
chinese,10505
moroccan,5313
japanese,28951
indian,19961
italian,1795
french,9917
mexican,26180
italian,9726
italian,47689
mexican,7866
mexican,41625
mexican,35160
southern_us,4430
french,39082
indian,46186
indian,11988
vietnamese,24177
italian,31849
moroccan,41194
mexican,36968
chinese,42330
thai,36791
italian,19704
indian,4933
mexican,4255
italian,37105
mexican,35848
mexican,17416
japanese,39066
cajun_creole,36270
filipino,24406
italian,20517
mexican,27630
french,19670
italian,4685
italian,45260
chinese,378
cajun_creole,40841
japanese,27632
mexican,12193
mexican,38047
italian,10170
japanese,25043
italian,23851
korean,14743
french,13294
chinese,26466
italian,32002
southern_us,37526
italian,8888
southern_us,38945
cajun_creole,38546
french,38869
mexican,10556
french,3296
mexican,25977
mexican,32025
italian,44087
french,32762
mexican,824
italian,44636
chinese,542
french,38218
thai,41930
italian,1987
southern_us,37378
italian,8873
chinese,1513
mexican,44013
indian,38042
jamaican,11576
french,24510
italian,823
chinese,23443
indian,34870
southern_us,3846
french,14993
mexican,16854
mexican,5886
italian,33793
southern_us,2999
mexican,20843
chinese,29153
greek,33790
indian,16516
french,37887
indian,18466
mexican,48033
italian,45404
mexican,4175
italian,31986
indian,38555
chinese,26832
brazilian,19810
italian,49086
cajun_creole,39579
southern_us,25551
indian,42549
mexican,22052
italian,45632
mexican,4143
italian,11310
japanese,32839
chinese,48171
italian,22896
mexican,10878
mexican,31643
indian,47624
italian,35141
chinese,13498
french,24566
french,16533
mexican,15437
greek,19426
mexican,32416
italian,2427
southern_us,9178
italian,40606
japanese,28450
italian,7946
greek,21756
southern_us,17843
british,44066
chinese,7427
french,11297
italian,42965
french,23067
thai,35066
greek,27938
greek,39075
thai,20200
southern_us,19823
chinese,12336
mexican,34714
italian,45388
greek,25639
southern_us,33985
thai,25524
chinese,19641
chinese,11106
italian,22165
greek,35412
japanese,23475
italian,1570
french,12815
indian,37253
italian,16900
southern_us,7701
mexican,49391
italian,1132
mexican,13051
chinese,2284
british,21410
greek,25604
thai,45746
southern_us,35911
japanese,26608
french,16991
mexican,40657
italian,47960
southern_us,38408
vietnamese,1295
russian,40139
southern_us,38538
spanish,26420
thai,10326
mexican,5181
indian,18210
southern_us,3241
italian,27062
thai,41527
mexican,45484
southern_us,38755
italian,47246
spanish,164
indian,723
mexican,299
mexican,1519
japanese,34077
indian,45254
french,34760
mexican,11154
italian,26274
italian,15081
mexican,45100
italian,1417
italian,32083
italian,29971
cajun_creole,17679
indian,36539
mexican,34975
italian,4633
southern_us,10321
italian,35565
chinese,26919
italian,9549
southern_us,31863
greek,22053
french,19443
italian,18540
italian,23354
southern_us,13859
thai,23904
italian,6675
southern_us,18595
chinese,12967
southern_us,17283
mexican,23211
mexican,14358
indian,31398
italian,42650
chinese,25258
vietnamese,18457
mexican,11810
cajun_creole,9499
indian,11943
thai,6810
southern_us,34323
korean,23296
italian,45927
french,45196
japanese,19917
italian,20210
chinese,41629
italian,39907
mexican,4956
southern_us,37058
chinese,20859
italian,3315
italian,4401
italian,21361
french,44164
italian,26391
italian,47771
greek,44140
indian,43739
italian,12481
thai,12292
indian,15965
thai,23409
chinese,39005
indian,2774
japanese,14529
mexican,16926
brazilian,26890
italian,9663
thai,43052
southern_us,24193
italian,5476
italian,10048
mexican,1981
chinese,12194
southern_us,22202
chinese,7626
mexican,37365
indian,44144
french,37723
filipino,47194
italian,30827
indian,33108
cajun_creole,2075
italian,6326
mexican,11083
korean,30311
mexican,45371
indian,18232
japanese,9768
southern_us,6648
cajun_creole,35650
italian,23013
mexican,6669
mexican,42670
cajun_creole,18155
vietnamese,44622
mexican,28426
mexican,23743
brazilian,14176
italian,9576
mexican,36577
italian,16671
thai,22964
french,16424
indian,47225
french,17565
filipino,36401
french,30314
jamaican,32982
french,21866
french,1475
italian,13053
southern_us,33983
indian,24051
spanish,22800
chinese,16561
southern_us,2740
mexican,219
greek,48737
french,2164
italian,13579
italian,71
mexican,12420
mexican,35209
indian,11472
chinese,43172
cajun_creole,24927
italian,37102
italian,10743
indian,27874
italian,9565
italian,21419
korean,767
italian,28308
italian,37605
french,9558
italian,31527
chinese,2419
chinese,7541
greek,11400
southern_us,23487
french,8087
italian,21906
mexican,48830
southern_us,37328
italian,45490
italian,9710
mexican,16153
moroccan,39537
southern_us,13923
southern_us,8120
southern_us,12923
filipino,1556
italian,6871
irish,34201
jamaican,36146
southern_us,33170
mexican,20082
southern_us,26517
cajun_creole,15214
southern_us,34092
cajun_creole,40902
greek,44452
italian,2083
mexican,44897
jamaican,17850
italian,26693
indian,19618
indian,35589
southern_us,46084
mexican,17256
mexican,47570
indian,32796
greek,27047
italian,39487
thai,130
cajun_creole,17627
southern_us,29072
southern_us,1108
mexican,22666
southern_us,41630
italian,27289
southern_us,42299
italian,36078
indian,7098
filipino,46999
chinese,28791
mexican,39576
french,2447
cajun_creole,22449
indian,23828
italian,5660
mexican,47460
southern_us,17912
southern_us,12288
italian,44037
mexican,20875
korean,6500
mexican,13813
indian,4907
italian,38186
mexican,9816
southern_us,8170
mexican,21681
mexican,42384
southern_us,35366
indian,34244
mexican,35421
mexican,33457
filipino,28026
mexican,38122
french,21362
cajun_creole,42253
italian,21994
vietnamese,34457
mexican,40229
mexican,10181
moroccan,38257
mexican,40992
southern_us,15617
thai,34754
italian,45459
cajun_creole,31295
southern_us,44977
japanese,18322
mexican,23257
southern_us,10084
indian,16445
chinese,10594
italian,26828
chinese,47643
chinese,49680
italian,27446
spanish,8731
indian,37341
japanese,42241
french,13669
jamaican,21403
mexican,688
italian,23894
french,35753
italian,44692
mexican,235
mexican,20982
mexican,10166
italian,2187
thai,5022
italian,49037
italian,44478
thai,8912
italian,8919
southern_us,23856
mexican,14647
filipino,48870
mexican,14377
french,18548
italian,39591
italian,46746
italian,31926
thai,10159
chinese,11342
southern_us,32421
italian,19969
southern_us,3029
southern_us,39565
southern_us,7426
italian,20624
southern_us,4385
french,18761
chinese,46710
southern_us,46241
indian,14208
cajun_creole,29323
irish,40663
mexican,32391
italian,9506
italian,35402
italian,48796
chinese,4657
southern_us,2404
southern_us,36923
french,41762
chinese,19344
italian,19876
southern_us,39452
indian,19209
thai,35461
southern_us,5784
thai,40345
italian,24765
southern_us,25563
mexican,40680
cajun_creole,36932
mexican,28106
mexican,12717
greek,40100
southern_us,6960
korean,20724
italian,24433
chinese,32118
italian,22353
mexican,23040
italian,46246
southern_us,36642
italian,21579
southern_us,24073
thai,16775
spanish,24732
french,24221
italian,33300
thai,34971
italian,19777
italian,24337
japanese,24709
italian,28557
french,8963
indian,31515
filipino,22575
italian,11011
italian,42030
chinese,48012
chinese,13623
mexican,49552
chinese,5702
italian,3847
italian,34221
southern_us,4312
moroccan,35834
cajun_creole,11849
indian,38290
southern_us,3064
french,30099
mexican,37354
italian,27877
mexican,45642
mexican,10629
mexican,17557
mexican,3725
french,49507
indian,5560
indian,42239
thai,29559
southern_us,46028
mexican,26523
indian,28313
thai,32502
filipino,43610
italian,35563
chinese,22160
chinese,11258
chinese,36220
spanish,15974
indian,30449
indian,29676
chinese,29951
irish,2268
mexican,36813
mexican,28096
italian,40471
french,6545
moroccan,33598
mexican,22338
vietnamese,41918
mexican,2133
thai,42259
mexican,11056
italian,7034
japanese,17040
french,35238
chinese,46155
italian,23356
indian,3909
mexican,22107
southern_us,1656
southern_us,9302
italian,19473
indian,13566
italian,23424
southern_us,4139
southern_us,15970
southern_us,47732
southern_us,37251
thai,44870
italian,9773
mexican,2131
italian,6381
italian,9613
japanese,47364
italian,34376
indian,26408
italian,4763
mexican,18982
chinese,2766
chinese,19247
french,13462
southern_us,19678
italian,22814
southern_us,18582
thai,3124
greek,19347
italian,8812
southern_us,22037
southern_us,15423
southern_us,35960
mexican,49336
mexican,1255
italian,17646
italian,20631
mexican,19492
greek,22895
southern_us,18607
chinese,34569
spanish,48356
southern_us,12252
italian,21071
southern_us,22458
french,19585
british,15597
southern_us,15038
mexican,20028
mexican,29764
southern_us,17206
mexican,40901
chinese,37954
thai,16933
moroccan,42657
chinese,21846
mexican,33834
southern_us,25873
italian,5938
spanish,34762
french,39835
indian,5805
chinese,13914
moroccan,45924
italian,41460
italian,37287
italian,25059
mexican,34872
chinese,7524
filipino,10427
italian,8014
italian,14740
filipino,24329
thai,38514
chinese,12665
italian,24655
chinese,7078
southern_us,15995
southern_us,15861
mexican,30662
italian,17836
french,2078
filipino,3600
indian,46302
southern_us,28375
thai,34839
greek,18345
french,23205
italian,34763
italian,26692
thai,10317
mexican,11767
italian,36881
chinese,33468
mexican,20669
italian,18159
russian,22891
italian,39588
japanese,35941
mexican,15981
chinese,26013
japanese,5076
italian,1573
french,39380
southern_us,13845
southern_us,35146
french,32924
italian,9567
spanish,35203
italian,39666
thai,17786
italian,21936
french,8668
southern_us,41339
italian,32268
mexican,29706
jamaican,42032
southern_us,8105
french,11218
italian,7159
italian,47817
indian,1572
southern_us,38720
mexican,14780
italian,31839
mexican,6501
southern_us,39533
southern_us,22820
southern_us,9619
greek,14025
italian,19697
southern_us,5370
southern_us,32639
japanese,15249
greek,47776
brazilian,48134
chinese,24141
chinese,4117
italian,20578
italian,47585
brazilian,20326
southern_us,43932
chinese,29704
cajun_creole,12447
thai,38117
greek,2684
mexican,25371
italian,25518
italian,27083
indian,16073
southern_us,45667
spanish,44188
mexican,44888
moroccan,41594
chinese,1061
italian,6536
mexican,31586
italian,9792
thai,40395
italian,24861
indian,32253
french,31082
chinese,19298
southern_us,6600
southern_us,46939
southern_us,6092
italian,36600
italian,45979
italian,46910
italian,14174
mexican,10609
italian,28647
indian,19066
indian,16803
british,49114
italian,14664
french,39670
indian,4583
southern_us,31121
jamaican,12589
italian,22551
greek,11817
indian,22003
chinese,42091
southern_us,45966
southern_us,6811
italian,2711
filipino,44757
spanish,5349
vietnamese,30294
indian,48944
italian,44048
southern_us,411
japanese,44998
thai,18078
italian,48533
vietnamese,16485
southern_us,32939
italian,11808
chinese,23059
cajun_creole,16466
british,7315
indian,13178
indian,2751
mexican,41395
italian,20534
french,12111
southern_us,38708
mexican,37481
mexican,28048
italian,13123
thai,2174
cajun_creole,17190
mexican,25756
moroccan,38180
cajun_creole,26892
mexican,23757
french,8553
thai,36272
indian,35224
southern_us,5203
southern_us,23565
greek,31420
chinese,43491
southern_us,38773
indian,15223
french,17763
italian,24528
southern_us,21704
mexican,45329
southern_us,48876
mexican,3741
italian,47710
italian,9182
mexican,13782
korean,3369
southern_us,11985
chinese,39817
italian,26869
indian,37461
italian,24217
italian,2474
french,45929
southern_us,12768
southern_us,924
southern_us,13258
indian,7955
chinese,37056
mexican,17934
southern_us,5843
italian,46881
mexican,4049
southern_us,24173
italian,4683
chinese,32612
mexican,11314
mexican,13550
indian,2483
italian,9573
chinese,34113
filipino,37865
brazilian,36951
mexican,4703
indian,10734
jamaican,40444
southern_us,44334
italian,35991
southern_us,34020
japanese,3743
chinese,18305
italian,7877
cajun_creole,10606
mexican,30584
indian,9266
mexican,35196
mexican,41070
filipino,25930
southern_us,48564
thai,14213
mexican,6618
cajun_creole,18479
italian,10279
cajun_creole,30750
italian,45701
chinese,22947
indian,6467
indian,16365
greek,7184
mexican,23270
southern_us,41805
indian,7537
chinese,18616
indian,42857
irish,37906
italian,16846
mexican,573
indian,26657
british,12408
greek,38232
british,33447
mexican,40227
italian,35760
italian,1385
italian,47866
french,30871
chinese,22604
indian,39397
jamaican,38782
italian,45343
indian,26112
italian,10209
moroccan,31702
chinese,37943
mexican,23471
thai,3529
mexican,46794
mexican,16626
japanese,32361
cajun_creole,20932
indian,11183
italian,33661
mexican,12681
mexican,2450
southern_us,23979
italian,18465
italian,28234
mexican,47449
indian,33869
mexican,4924
thai,18862
indian,30556
british,35762
mexican,7396
italian,21232
indian,18299
french,35468
italian,42838
cajun_creole,33972
southern_us,46021
italian,1627
italian,28873
mexican,38927
chinese,25262
italian,19152
southern_us,11061
cajun_creole,27000
chinese,37396
mexican,47358
italian,47825
southern_us,24681
french,37706
cajun_creole,44056
italian,38298
italian,30788
italian,36144
southern_us,21792
mexican,31745
french,15104
thai,30589
indian,14235
french,2608
southern_us,34828
italian,3282
southern_us,4336
jamaican,25666
mexican,17831
cajun_creole,17008
mexican,35845
southern_us,19494
indian,30797
mexican,33763
southern_us,19950
southern_us,23089
chinese,32074
chinese,49640
chinese,8403
italian,15879
indian,7949
thai,31483
japanese,32928
southern_us,27647
italian,34616
french,21113
cajun_creole,41599
chinese,23924
italian,36335
jamaican,36194
mexican,10980
southern_us,45999
chinese,3943
italian,188
italian,5799
southern_us,20964
italian,2716
italian,5464
italian,17640
filipino,39437
thai,14835
french,3094
italian,14826
mexican,30173
italian,37811
japanese,22363
southern_us,6369
mexican,26850
italian,48887
italian,44405
mexican,21477
indian,32697
mexican,38843
mexican,20076
mexican,26429
thai,35648
mexican,41794
italian,22100
southern_us,30216
filipino,17656
italian,17317
italian,4928
italian,43965
british,6404
chinese,12274
southern_us,6651
italian,40406
southern_us,40933
mexican,23419
mexican,37867
italian,28834
chinese,23912
mexican,4791
japanese,36354
southern_us,32298
japanese,44577
chinese,48859
moroccan,32485
french,8394
italian,7708
brazilian,38385
vietnamese,22622
thai,29716
mexican,44462
mexican,9422
mexican,22499
italian,36
italian,434
mexican,5479
southern_us,42420
mexican,47346
mexican,44568
greek,38650
spanish,19191
irish,22848
mexican,17886
southern_us,6036
french,38608
japanese,12890
southern_us,15709
southern_us,13125
italian,48454
southern_us,36627
italian,47884
southern_us,28
mexican,45365
chinese,40795
indian,17651
italian,1530
chinese,17604
mexican,4700
italian,24972
mexican,23525
italian,7092
mexican,43757
mexican,4808
southern_us,7249
thai,27589
southern_us,47523
italian,44244
korean,10383
mexican,37285
chinese,21332
italian,7311
italian,28052
italian,31653
italian,1740
southern_us,5484
southern_us,41406
southern_us,41907
mexican,46515
italian,38392
mexican,15925
greek,5094
italian,31816
southern_us,35713
mexican,31296
french,41640
indian,22419
indian,47874
italian,6570
mexican,6936
southern_us,34063
italian,34141
southern_us,44572
italian,28425
mexican,38481
italian,18955
italian,46466
jamaican,5692
mexican,39836
moroccan,33718
italian,36250
indian,286
italian,29766
southern_us,20541
irish,31173
french,46440
moroccan,23905
indian,37232
italian,8517
cajun_creole,21249
southern_us,32700
mexican,22845
italian,45461
french,1307
italian,30010
mexican,21646
italian,28148
jamaican,26450
mexican,16602
italian,9928
southern_us,27063
southern_us,22273
indian,12744
italian,28272
southern_us,30350
southern_us,23362
greek,13645
southern_us,16942
italian,34970
irish,27829
mexican,38058
thai,13256
italian,31859
southern_us,43027
chinese,22235
italian,2933
italian,45981
italian,11460
cajun_creole,33770
french,24399
southern_us,8006
thai,48885
moroccan,42585
mexican,40160
chinese,45541
vietnamese,22410
japanese,26226
indian,4591
indian,5457
italian,39085
mexican,24040
chinese,6576
cajun_creole,34310
mexican,27350
thai,9968
italian,2464
chinese,27952
mexican,43388
mexican,33143
thai,28083
mexican,15927
southern_us,10255
southern_us,8011
thai,5195
mexican,36015
french,40910
french,11309
cajun_creole,47556
thai,27958
mexican,27198
mexican,643
indian,40853
japanese,15815
italian,2063
irish,19827
italian,33443
korean,44632
thai,26773
japanese,3203
southern_us,32873
thai,24806
french,45942
french,1324
japanese,32526
mexican,48093
italian,48942
italian,8845
italian,11546
mexican,44358
italian,3209
italian,10553
italian,44430
italian,44712
indian,16351
italian,44644
jamaican,31670
southern_us,49147
southern_us,19750
vietnamese,48121
french,22722
italian,9910
italian,14236
thai,48341
thai,23190
greek,20362
southern_us,44794
mexican,39419
italian,13526
southern_us,42270
mexican,37208
italian,33824
italian,29953
chinese,16387
italian,37672
italian,1868
thai,24984
greek,47128
chinese,44303
chinese,20318
italian,7513
italian,13261
italian,19259
italian,31103
italian,24037
southern_us,29984
french,28159
indian,5318
mexican,23962
italian,2084
italian,41793
italian,18960
spanish,17025
southern_us,15510
japanese,36832
italian,20643
mexican,4154
chinese,10510
italian,45117
italian,43403
chinese,42471
italian,6942
french,33309
southern_us,6689
italian,48687
italian,9880
italian,25590
mexican,21842
indian,27151
japanese,565
indian,21740
indian,42399
greek,35928
irish,47060
indian,43147
italian,16625
spanish,16769
southern_us,12515
southern_us,14731
mexican,11658
vietnamese,49467
italian,19749
chinese,39723
italian,5722
cajun_creole,31967
italian,39857
italian,16534
italian,27334
mexican,32215
italian,34903
italian,24990
moroccan,31307
mexican,38874
italian,24130
chinese,27816
korean,939
southern_us,38293
cajun_creole,7889
southern_us,22114
japanese,24614
thai,48827
southern_us,3387
french,41676
mexican,3152
mexican,38805
chinese,27078
italian,34940
chinese,16855
mexican,41891
indian,36715
mexican,49455
spanish,26522
italian,28420
french,329
mexican,18986
french,31705
italian,7402
southern_us,10212
korean,10640
indian,38014
italian,5172
mexican,26986
vietnamese,5088
italian,24522
mexican,1900
southern_us,4801
japanese,27932
italian,30941
mexican,42354
russian,48854
italian,39058
french,34294
southern_us,46593
mexican,22582
thai,36937
indian,34596
southern_us,42570
southern_us,10147
mexican,44796
mexican,46819
mexican,30905
italian,34980
italian,49265
french,37563
chinese,25673
french,14267
cajun_creole,32410
thai,26392
italian,27384
thai,43045
mexican,22576
greek,11597
french,22656
greek,47811
french,7925
chinese,14860
chinese,27525
italian,7798
italian,10848
french,19062
chinese,32224
mexican,11529
italian,12155
cajun_creole,30628
japanese,21909
mexican,14291
southern_us,3323
italian,6502
italian,25833
southern_us,31108
italian,47484
italian,27396
chinese,48147
mexican,10489
mexican,12014
